address,is24qa_bezugsfrei_ab,is24qa_etage,is24qa_flaeche,is24qa_kaltmiete,is24qa_nebenkosten,is24qa_zi,lat,lng,url,zip_region_country
"Prühßstraße 30,",sofort,2 von 3,"63,43 m²","792,88 €",,2,"52.44301505819083,",13.383247425721976,https://www.immobilienscout24.de/expose/108527371,"12105 Berlin, Mariendorf (Tempelhof)"
"Heidelberger Straße 44f,",Ab sofort.,,"69,84 m²",878 €,,2,"52.484198608145924,",13.453695234621327,https://www.immobilienscout24.de/expose/108528188,"12059 Berlin, Neukölln (Neukölln)"
"Britzer Straße 17,",sofort,2 von 3,"63,5 m²","649,61 €",,2,"52.45354865469591,",13.517878426544987,https://www.immobilienscout24.de/expose/108060664,"12439 Berlin, Niederschöneweide (Treptow)"
"Florian-Geyer-Str. 110,",01.09.2018,4 von 4,"68,33 m²",799 €,,2,"52.436752014508315,",13.544856510534583,https://www.immobilienscout24.de/expose/63378734,"12489 Berlin, Adlershof (Treptow)"
"Gemeinschaftsstraße 50,",16.08.2018,,"96,91 m²",1.337 €,,3,"52.44122597718424,",13.543905796046975,https://www.immobilienscout24.de/expose/105790089,"12489 Berlin, Adlershof (Treptow)"
"Franzstr. 2,",sofort,4,113 m²,899 €,,3,"52.52188877031203,",13.198216642924573,https://www.immobilienscout24.de/expose/108519198,"13595 Berlin, Spandau (Spandau)"
"Sodener Str. 15,",01.12.2018,2,"42,02 m²",620 €,,1,"52.47210264859204,",13.30334839650353,https://www.immobilienscout24.de/expose/108519930,"14197 Berlin, Wilmersdorf (Wilmersdorf)"
"Seestraße 30,",sofort / nach Vereinbarung,3 von 6,"60,64 m²","536,25 €",,2,"52.54790812989596,",13.347967711216192,https://www.immobilienscout24.de/expose/108250525,"13353 Berlin, Wedding (Wedding)"
"Blasewitzer Ring 7,",sofort,7,76 m²,"526,27 €",,"2,5","52.520249062240204,",13.17224531565252,https://www.immobilienscout24.de/expose/108518538,"13593 Berlin, Staaken (Spandau)"
"Falkenseer Chaussee 168,",sofort,2,41 m²,360 €,,1,"52.55262685782528,",13.153788331952697,https://www.immobilienscout24.de/expose/108519500,"13589 Berlin, Spandau (Spandau)"
"Am Hamburger Bahnhof 3,",sofort,6 von 6,"92,83 m²","1.578,11 €",,2,"52.5296827683378,",13.370375410125591,https://www.immobilienscout24.de/expose/106656124,"10557 Berlin, Tiergarten (Tiergarten)"
"Weichselstr. 16,",,3 von 5,"41,38 m²",686 €,,1,"52.485709940047414,",13.435118056918643,https://www.immobilienscout24.de/expose/100735381,"12045 Berlin, Neukölln (Neukölln)"
"Lehrter Straße 25A,",sofort,4 von 5,"65,95 m²","1.121,15 €",,2,"52.53208535461391,",13.361049126860804,https://www.immobilienscout24.de/expose/106873420,"10557 Berlin, Tiergarten (Tiergarten)"
"Hittorftsr 15,",sofort,2 von 3,181 m²,2.200 €,,4,"52.450746067220045,",13.284658255821384,https://www.immobilienscout24.de/expose/108520255,"14195 Berlin - Dahlem, Dahlem (Zehlendorf)"
,nach Vereinbarung,3 von 6,"78,66 m²",710 €,,3,,,https://www.immobilienscout24.de/expose/108688522,12681 Berlin
